content,title
1、在眼圈周围涂上蜂蜜；2、用纱布蘸上酸奶，敷在眼睛周围；3、将鸡蛋煮熟后去壳，用小毛巾包裹住，按摩眼睛四周；4、将含汁量多的苹果切片，敷双眼；5、土豆去皮切成约2厘米的厚片，外敷双眼。,轻松祛除眼袋防黑眼圈
要养成天然美女其实也不难，日常生活中的小细节就可以让你每天就会见到奇迹哦。#小智慧#@女人天生爱化妆,速变美女的秘诀
在你的U盘中建个空的文件夹，命名为autorun.inf。如果你的U盘无法完成重命名，这说明你的U盘已中毒，这时，那么建议你先备份重要文件，再格式化。原理是：大多数病毒是先建立autorun.inf再键入内容，病毒在进入C盘时就是通过这个文件夹里内部文件来为媒介的。,鉴定你的U盘是否中毒
"专家指出:往往上班玩游戏的员工,他的大脑要比专心工作的人聪明65%。比如某员工上班玩游戏的人,他的精力投在玩上,大脑的灵活率极度升高，而专心工作的员工没有一点灵活的空间,在社会上能干大事的人,据专家统计85%都没上过大学本科。",爱玩游戏能干大事
将手心朝下平放在桌面，然后五指张开，用另一手的指腹将拇指及食指下交接部位的肌肤用力夹起五秒钟（如下图），然后放开，若是马上皮肤缩回，表示你的生理年龄还很年轻，若超过5秒钟才完全恢复正常，代表你已经比实际年龄还要衰老了……,测试你老化了没有？
美眉们注意啦！#瘦身#@时尚旅游百科,20分钟美臀舞
送给用本本上网的童鞋们，要好好爱护你的小本本哦！#小知识#,笔记本基本维护保养
"1.黑芝麻(增加细胞免疫) 2.西红柿(减少皮肤辐射损伤,祛斑)3.紫菜(抗辐射圣品) 4.辣椒(保护细胞的DNA不受辐射破坏)5.绿茶(减轻辐射对人体的不良影响) 6.海带(抗辐射) 7.大蒜(减少辐射损伤) 8.绿豆(有助于排泄体内毒物) 9.黑木耳(清胃、涤肠、防辐射)#小智慧#",电脑族要常吃的9种防辐射食物
按图示的动作，每天坚持重复20次，一星期减2公斤，不用控制食欲，立马给你漂亮身材。一开始的时候身上有点酸痛，坚持一段时间后，很快就适应了，大家一起加油吧！（全套10个动作  5/10）,韩国超有效的减肥法，每天只需10分钟
已经走入职场的你，或者即将走入职场的你，这些规则对你来说，绝对值得一读！#小知识#,10个公司绝对不会告诉你的潜规则
夏天到了，你放松了对辛辣油腻食物的警惕，任由它们被超量摄入，影响体内循环代谢。再加上一年四季都摆脱不了的压力过大、作息不规律，积蓄在体内的各种“火气”——胃火、肝火、肺火、心火，就这样疯狂燃烧起来首先灼伤的，就是你的肌肤。#小智慧#,摆脱胃火、肝火、肺火、心火
1. 草莓亮白牙齿；2. 牙膏治疗疱疹；3. 菠萝汁洁面； 4. 冰牛奶舒缓灼伤；5. 消毒药片洁甲；6. 柠檬汁恢复肤色；7. 橄榄油婴儿油卸唇妆；8. 阿司匹林去痘； 9. 柠檬汁护发；10. 粗盐去黑头； 11. 眼霜消丘疹,美容妙计
1.洋葱；2.玉米 ；3.苹果；4.韭菜； 5.蘑菇； 6.冬瓜； 7.海带； 8.鸡蛋； 9.豆腐； 10.芹菜 #小智慧#,最有效的十大刮油食物
一、圆脸(对人际关系及财运都有加分)；二、下巴丰满（可能会拥有两栋以上的房产）；三、臀大(代表有财运)；四、腿不能细（腿长脚瘦，奔走不停，辛苦之相也）；五、小腹有脂肪(状是一种福寿之相)。(via @创意时尚空间）,啥面相女人这辈子命最好
25条教你看穿人们的小动作。比如通常最色的男生不是经常讲荤段子的，而往往是平时十分正经，对色情的事情强烈愤慨的人，才是真的很色…………手机党mark，make随意……,25条教你看穿人们的小动作
【简单小办法让电脑运行速度加快】快试试吧~#小窍门#,简单小办法让电脑运行速度加快
《加勒比海盗：惊涛怪浪》：5月20日、《不再让你孤单》：5月20日(因为谐音\'我爱你\') 、《功夫熊猫2》：5月28日、《速度与激情5》：5月12日 、《雷神》《大太阳》《百年情书》：5月6日 、《最爱》《蔡李佛拳》：5月10日 、《男得有爱》5月13日 P.S你想看哪部？[色],5月上映电影大集合！
每一次做爱，会消耗体内至少120个卡路里，科学家指出：每周只要做爱三次，每次持续20分钟，便有减肥功效，经常做爱的人，平均寿命较一般人要长10年。（@微博经典趣事）,没想到做爱还有这功效
1、眼珠运动法：头向上下左右旋转，眼珠也转动。2、眨眼法：头向后仰并不停眨眼。轻微疲劳只要做2~3次即可。3、看远看近法：看远方3分钟，再看手掌1~2分钟，再看远方。为了各位的眼睛转发分享~~,缓解眼疲劳小知识
①幼儿的早餐-应当注重补充丰富的蛋白质和钙，尽量少吃含糖较高的食物；②青少年的早餐-需要足够的钙、维生素C、维生素A等营养成分，尤其是要保证充足的热量供应；③中年人的早餐-既要含有丰富的蛋白质、维生素、钙、磷等，还应保证低热量、低脂肪。,不同年龄人群有不同的最佳早餐搭配需求
电脑死机，相信是很多朋友经常遇到的事。一发现死机，我们通常都会直接按开关机键（这样有时会对电脑硬件有所损害），孰不知，有时电脑并未真正死机，只不过是处于一种假死的状态。一起来学习下怎么避免这种情况吧！#小窍门#,避免电脑假死机
【最养男人的十二种食物】：西红柿、黄豆、南瓜子、胡萝卜、海鲜、大蒜、高维生素C食物、全麦面包、水、深海鱼。【女性十种最佳养生食物】：菠菜护脑、红薯护眼、海带护发、番茄护肺、香蕉护腿、深海鱼护心、黑豆护肾、甘蓝护胃、鸡蛋护甲、西蓝花护肤。精彩博文、转发收藏吧。,最佳养生食物，分男女的哦
①、胡萝卜：加快大脑的新陈代谢；②、菠萝：提高工作学习效率；③、白菜：能减少紧张情绪；④、柠檬：有助于集中精力；⑤、海虾：长时间保持精力集中；⑥、洋葱头：改善大脑氧的供应状况；⑦、香蕉：含血清素给大脑供养；⑧、海带：缓解工作学习后的疲劳感。,用脑一族吃8种食物可提升脑力、记忆力
在我们的拇指上有三个相邻接的穴道，分别是明眼、凤眼、大空骨（如下图）。明眼、凤眼能够改善眼睛疲劳和急性结膜炎，大空骨则可改善一切有关眼睛的症状。平时眼睛容易疲劳的人，每天要刺激这三个穴道两次。此方法还可以抑制老人性的白内障。转给与我一样的微博控们。,视力保健穴位
1.吃得太油腻，喝杯芹菜汁；2.吃火锅后喝点酸奶，可有效保护胃肠道黏膜；3.消化不良，饭后喝大麦茶或橘皮水；4.吃方便面后吃水果，可以有效补偿维生素与矿物质的不足；5.吃蟹后喝生姜红糖水，能祛寒暖胃、促进消化、缓解胃部不适；6.饭后吃个柿子，可润肺生津、养阴清燥。,告诉你各种饭局后怎样养生
